16:37:35.741 INFO [Interface.cpp:15              ] OpenPort ok: port='COM3'
16:37:35.748 INFO [InitializeManager.cpp:16      ] >> GetInitData: cmdId=0x02
16:37:35.870 INFO [Z_Wave.h:109                  ] << [RES] 0x02 FUNC_ID_GET_INIT_DATA | payload=34B [0]=0x05
16:37:35.870 INFO [InitializeManager.cpp:64      ] << GetInitData ApiVersion=5 Caps=8 NodeListLen=29 ChipType=3 ChipVer=1 
16:37:35.870 INFO [InitializeManager.cpp:70      ] << GetInitData: parsed nodeIds=3 (first=1, last=20)
16:37:35.871 INFO [InitializeManager.cpp:169     ] >> GetCapabilities: cmdId=0x07
16:37:35.937 INFO [Z_Wave.h:109                  ] << [RES] 0x07 FUNC_ID_GET_CAPABILITIES | payload=40B [0]=0x03
16:37:35.937 INFO [InitializeManager.cpp:209     ] << GetCapabilities: appVer=3.7 mfg=0x0086 prodType=0x0002 prodId=0x0001 cmdCount=47 cmdList=[2 3 4 5 6 7 8 16 18 19 20 21 22 23 24 28 32 33 34 35 36 65 66 68 69 70 71 72 73 74 75 77 80 81 82 83 84 85 86 87 90 96 97 98 99 128 144 ] (payloadLen=40)
16:37:35.937 INFO [InitializeManager.cpp:80      ] >> GetControllerCapabilities: cmdId=0x05
16:37:36.011 INFO [Z_Wave.h:109                  ] << [RES] 0x05 FUNC_ID_GET_CONTROLLER_CAPABILITIES | payload=1B [0]=0x1C
16:37:36.011 INFO [InitializeManager.cpp:99      ] << GetControllerCapabilities: caps=0x1C secondary=false otherNet=false sisPresent=true sucEnabled=true noNodesIncluded=false (payloadLen=1)
16:37:36.011 INFO [InitializeManager.cpp:227     ] >> GetNetworkIdsFromMemory: cmdId=0x20
16:37:36.090 INFO [Z_Wave.h:109                  ] << [RES] 0x20 ZW_API_GET_NETWORK_IDS_FROM_MEMORY | payload=5B [0]=0x01
16:37:36.090 INFO [InitializeManager.cpp:249     ] << GetNetworkIdsFromMemory: homeId=0x014CE451 nodeId=1 (payloadLen=5)
16:37:36.090 INFO [InitializeManager.cpp:259     ] >> GetLibraryVersion: cmdId=0x15
16:37:36.168 INFO [Z_Wave.h:109                  ] << [RES] 0x15 FUNC_ID_GET_LIBRARY_VERSION | payload=13B [0]=0x5A
16:37:36.169 INFO [InitializeManager.cpp:298     ] << GetLibraryVersion: verStr='Z-Wave 2.78' libType=0x01 protoParsed=2.78 (payloadLen=13)
16:37:36.181 INFO [Z_Wave.h:252                  ] ----------------------------------- Initialization done.
16:37:36.182 INFO [Z_Wave.h:270                  ] ----------------------------------- Interview started. Node: 12
16:37:36.182 INFO [InterviewManager.cpp:20       ] >> ZW_API_GET_NODE_INFO_PROTOCOL_DATA: node=12
16:37:36.246 INFO [Z_Wave.h:109                  ] << [RES] 0x41 ZW_API_GET_NODE_INFO_PROTOCOL_DATA | payload=6B [0]=0xC9
16:37:36.247 INFO [InterviewManager.cpp:69       ] << ZW_API_GET_NODE_INFO_PROTOCOL_DATA: node=12 listening=true routing=true speed=1 proto=1 basic=0x04 generic=0x10 specific=0x01 opt=0x0C speedExt=0x00 (payloadLen=6)
16:37:36.247 INFO [InterviewManager.cpp:111      ] >> ZW_API_REQUEST_NODE_INFORMATION: node=12
16:37:36.327 INFO [Z_Wave.h:109                  ] << [RES] 0x60 ZW_API_REQUEST_NODE_INFORMATION | payload=1B [0]=0x01
16:37:36.404 INFO [Z_Wave.h:109                  ] << [REQ] 0x49 ZW_API_APPLICATION_UPDATE | event=UPDATE_STATE_NODE_INFO_RECEIVED
16:37:36.405 INFO [InterviewManager.cpp:165      ] << Decoded NodeInfo: node=12 basic=0x04 generic=0x10 specific=0x01 ccCount=8
16:37:36.405 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x25] to node 12
16:37:36.470 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:36.512 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:36.536 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:36.537 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=12 cc=0x25 version=1
16:37:36.545 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x27] to node 12
16:37:36.612 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:36.655 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:36.679 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:36.680 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=12 cc=0x27 version=1
16:37:36.687 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x28] to node 12
16:37:36.753 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:36.796 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
